English sentence,Swahii Translation
Why did he throw my bag on the ground?,Kwa nini alitupa begi langu ardhini?
"Being a new student at school, he has alot to learn from his surrounding.","Kuwa mwanafunzi mpya shuleni, ana mengi ya kujifunza kutoka kwa jirani yake."
We are only thirty students in the classroom.,Sisi ni wanafunzi thelathini tu darasani.
The snacks are kept in the fridge.,Vitafunio huhifadhiwa kwenye friji.
The teachers have to follow the class timetable.,Walimu wanapaswa kufuata ratiba ya darasa.
"I have never been slapped before, except by my mother.","Sijawahi kushonwa hapo awali, isipokuwa na mama yangu."
When my class teacher beat me I fell and pretended to have fainted.,Wakati mwalimu wangu wa darasa aliponipiga nilianguka na kujifanya kuwa nimechoka.
"She was so scared, angry and happy at the same time.","Alikuwa na hofu sana, hasira na furaha wakati huo huo."
The teacher was arrested for hitting a nursery school child.,Mwalimu alikamatwa kwa kumpiga mtoto wa shule ya kitalu.
"In that country, no one is allowed to beat children expect their parents.","Katika nchi hiyo, hakuna mtu anayeruhusiwa kuwapiga watoto wanatarajia wazazi wao."
"This morning, a thief was beaten to death.","Asubuhi hii, mwizi alipigwa hadi kufa."
" It is strange how I have gotten so used to dancing over the years. 
"," Inashangaza jinsi nimezoea kucheza kwa miaka yote.
"
The policemen beat up idlers on the streets in the city center.,Polisi walipiga vitambulisho kwenye mitaa katikati mwa jiji.
My clinic is on the fourth floor of that building.,Kliniki yangu iko kwenye ghorofa ya nne ya jengo hilo.
" The receptionist finished with the other patients and turned back to me. 
"," Mpokeaji alimaliza na wagonjwa wengine na akarudi kwangu.
"
The receptionist told us about the ongoing riots outside the building.,Mpokeaji alituambia juu ya ghasia zinazoendelea nje ya jengo hilo.
The opposition thinks it can overthrow the ruling government.,Upinzani unafikiria inaweza kupindua serikali tawala.
There were peaceful demonstrations in our town.,Kulikuwa na maandamano ya amani katika mji wetu.
" All opposition party members and parliamentarians walked to their offices.
"," Washiriki wote wa chama cha upinzaji na wabunge walitembea kwenda ofisi zao.
"
All the idlers and workers in town stood by the roadsides to cheer the rioters.,Watafiti wote na wafanyikazi katika mji walisimama barabarani ili kuwafurahisha waandamanaji.
"Medical workers, teachers, and lawyers have taken turns in the ongoing strike.","Wafanyikazi wa matibabu, waalimu, na mawakili wamebadilishana katika mgomo unaoendelea."
This week is my deadline for sending the papers.,Wiki hii ni tarehe yangu ya mwisho ya kutuma karatasi.
This morning I took a taxi before the sun rose.,Asubuhi hii nilichukua teksi kabla ya jua kuchomwa.
I spent the morning going to offices further from the town centre.,Nilitumia asubuhi kwenda ofisi zaidi kutoka katikati mwa jiji.
"I have to bear the remaining disturbances to visit the offices in town.
","Lazima nichukue usumbufu uliobaki wa kutembelea ofisi katika mji.
"
We hid in the crowded toilets of that commercial building.,Tulificha kwenye vyoo vilivyojaa vya jengo hilo la kibiashara.
I got all my papers signed and stamped except my medical forms.,Nilipata karatasi zangu zote kusainiwa na kuweka mhuri isipokuwa fomu zangu za matibabu.
"I went through the taxi park to go to my familyâ€™s clinic.
","Nilipitia uwanja wa teksi kwenda kliniki ya familia yangu.
"
In the evening when the riots stopped I went home.,Jioni wakati ghasia zilisimama nilienda nyumbani.
I took my sick daughter to the town clinic.,Nilimpeleka binti yangu mgonjwa kliniki ya mji.
The receptionist at the hospital helped us through all the procedures.,Mpokeaji hospitalini alitusaidia kupitia taratibu zote.
There is a bleeding child at the hospital entrance.,Kuna mtoto anayetokwa na damu kwenye mlango wa hospitali.
He lost too much blood after the motorcycle accident.,Alipoteza damu nyingi baada ya ajali ya pikipiki.
"Get this patient into surgery now, he is bleeding to death.","Pata mgonjwa huyu katika upasuaji sasa, anatokwa na damu hadi kufa."
His mother cried in pain as she waited at the hospital reception.,Mama yake alilia kwa uchungu wakati anasubiri mapokezi ya hospitali.
He looked so terrified than the rest of the family members.,Alionekana kuogopa sana kuliko watu wengine wa familia.
That girl is about eight years old.,Msichana huyo ana umri wa miaka nane.
That department is responsible for providing medical and surgical care to patients.,Idara hiyo inawajibika kwa kutoa huduma ya matibabu na upasuaji kwa wagonjwa.
The doctor said there is nothing wrong with your hearing.,Daktari alisema hakuna kitu kibaya na kusikia kwako.
There was a lot of rain last week.,Kulikuwa na mvua nyingi wiki iliyopita.
"She started talking about things that make women and girls cry. 
","Alianza kuzungumza juu ya vitu ambavyo hufanya wanawake na wasichana kulia.
"
"Those girls are not crying, they are just acting to get sympathy.","Wasichana hao sio kulia, wanahusika tu kupata huruma."
They can never forget the pain they went through during the war.,Hawawezi kusahau maumivu waliyoyapitia wakati wa vita.
I cried quietly through out the English lesson that day.,Nililia kimya kimya kupitia somo la Kiingereza siku hiyo.
We have heard many stories about the former president of that country.,Tumesikia hadithi nyingi juu ya rais wa zamani wa nchi hiyo.
Asians were forced to leave the country on orders of the former military ruler.,Waasia walilazimishwa kuondoka nchini kwa amri ya mtawala wa zamani wa jeshi.
Many Indians who were thrown out of Uganda returned.,Wahindi wengi ambao walitupwa nje ya Uganda walirudi.
Many Asians based in Uganda have succeeded in their businesses.,Waasia wengi walioko nchini Uganda wamefanikiwa katika biashara zao.
The current leader restored peace in the country.,Kiongozi wa sasa alirudisha amani nchini.
Some people feel like foreigners in their own country.,Watu wengine wanahisi kama wageni katika nchi yao.
My big sisters wanted to stay in America for a few more years.,Dada zangu wakubwa walitaka kukaa Amerika kwa miaka michache zaidi.
" He had spent the last two years sending money back to Uganda.
"," Alikuwa ametumia miaka miwili iliyopita kutuma pesa kurudi Uganda.
"
Makerere University offered him a big job that he couldn't turn down.,Chuo Kikuu cha Makerere kilimpa kazi kubwa ambayo hakuweza kukataa.
I will find peace in that country.,Nitapata amani katika nchi hiyo.
Many civilians fled in terror during the war.,Raia wengi walikimbia kwa hofu wakati wa vita.
" I resolved never to come back to school again.
"," Niliamua kamwe kurudi shuleni tena.
"
"As soon as the teacher ended her class, the children sat around me.","Mara tu mwalimu alipomaliza darasa lake, watoto walikaa karibu yangu."
I made a lot of friends at school.,Nilifanya marafiki wengi shuleni.
My classmates are no longer scared of talking to me.,Wanafunzi wenzangu hawaogopi tena kuzungumza nami.
New students need to go through a short orientation before they begin classes.,Wanafunzi wapya wanahitaji kupitia mwelekeo mfupi kabla ya kuanza madarasa.
We did not have electricity for two days.,Hatukuwa na umeme kwa siku mbili.
"In our town, electricity is off every other night.","Katika mji wetu, umeme uko mbali kila usiku mwingine."
"During that time, there were only two television stations.","Wakati huo, kulikuwa na vituo viwili tu vya runinga."
The two television stations used to show cartoons.,Vituo viwili vya runinga vilivyotumika kuonyesha katuni.
Children watched cartoons every morning during holidays.,Watoto walitazama katuni kila asubuhi wakati wa likizo.
The dates of power cuts were announced at least six months before the blackout.,Tarehe za kupunguzwa kwa nguvu zilitangazwa angalau miezi sita kabla ya kuzima.
Those television channels showed cartoons day and night.,Njia hizo za runinga zilionyesha katuni mchana na usiku.
I spend my weekends learning how to play netball.,Ninatumia wikendi yangu kujifunza jinsi ya kucheza mpira wa wavu.
I have a lot since then over the years.,Nina mengi tangu wakati huo zaidi ya miaka.
I have learnt to kneel when greeting elders.,Nimejifunza kupiga magoti wakati wa kuwasalimia wazee.
I have learnt to iron clothes with a charcoal iron box when there is no power.,Nimejifunza nguo za chuma na sanduku la chuma la mkaa wakati hakuna nguvu.
I wear three pairs of shorts under my school uniform.,Ninavaa jozi tatu za kaptula chini ya sare yangu ya shule.
They learnt the local language so as to be able to bargain for things in the market.,Walijifunza lugha ya kienyeji ili kuweza kujadiliana kwa vitu kwenye soko.
" I no longer have an Australian accent 
"," Sina tena lafudhi ya Australia
"
My friends have learnt a lot from me.,Rafiki zangu wamejifunza mengi kutoka kwangu.
We learnt the difference between the two foreign countries.,Tulijifunza tofauti kati ya nchi hizo mbili za nje.
Not every Ugandan abroad is cleaning toilets in hospitals.,Sio kila Uganda nje ya nchi ni kusafisha vyoo katika hospitali.
We got to know that not every child from abroad is spoilt.,Tulipata kujua kuwa sio kila mtoto kutoka nje ya nchi aliyeharibiwa.
Our relatives camped at our spacious home for years.,Jamaa zetu walipiga kambi nyumbani kwetu kwa miaka.
That is the official language in our Kingdom.,Hiyo ndiyo lugha rasmi katika ufalme wetu.
The language is spoken by most of the people in our country.,Lugha hiyo inazungumzwa na watu wengi katika nchi yetu.
There are forty one languages in Uganda.,Kuna lugha arobaini moja nchini Uganda.
Some people can't speak their mother languages.,Watu wengine hawawezi kuzungumza lugha za mama zao.
I paid a consultation fee of fifty thousand Ugandan shillings to see the doctor.,Nililipa ada ya mashauriano ya shilingi elfu hamsini za Uganda kuona daktari.
The doctor filled my medical form and stamped it.,Daktari alijaza fomu yangu ya matibabu na kuiweka mhuri.
That language is one of the most commonly wide spoken languages in Uganda.,Lugha hiyo ni moja ya lugha zinazozungumzwa sana nchini Uganda.
I submitted my papers to the American Embassy.,Niliwasilisha karatasi zangu kwa Ubalozi wa Amerika.
My visa was approved to fly out and do my masters degree in Australia.,Visa yangu iliidhinishwa kuruka nje na kufanya digrii yangu ya Masters huko Australia.
She changed her appearance by wearing unusual clothes.,Alibadilisha muonekano wake kwa kuvaa nguo zisizo za kawaida.
She normally wears little make up.,Yeye kawaida huvaa kidogo.
He buttoned his shirt so quickly.,Alibadilisha shati lake haraka sana.
She respects and likes people who are of a high social class.,Anaheshimu na anapenda watu ambao ni wa kiwango cha juu cha kijamii.
She deliberately refused to tell me her name.,Alikataa kwa makusudi kuniambia jina lake.
The students concentrated and revised for their final exams.,Wanafunzi walijikita zaidi na marekebisho kwa mitihani yao ya mwisho.
Breast feeding provides all the nutrients a baby needs to grow and be healthy.,Kulisha matiti kunatoa virutubishi vyote ambavyo mtoto anahitaji kukua na kuwa na afya.
She came with her newborn baby for a job interview.,Alikuja na mtoto wake mchanga kwa mahojiano ya kazi.
Women love moving with pocket mirrors in their hand bags.,Wanawake wanapenda kusonga na vioo vya mfukoni kwenye mifuko yao ya mikono.
We waited for the company director from the waiting room.,Tulingojea mkurugenzi wa kampuni kutoka chumba cha kungojea.
They did a very good job in transport and communication.,Walifanya kazi nzuri sana katika usafirishaji na mawasiliano.
I turned on my phone and updated my Twitter status.,Niliwasha simu yangu na kusasisha hali yangu ya Twitter.
The oral interviews will take place next week.,Mahojiano ya mdomo yatafanyika wiki ijayo.
" The manager's office is portioned off with a glass screen and a sliding door. 
"," Ofisi ya meneja imegawanywa na skrini ya glasi na mlango wa kuteleza.
"
That glass is well decorated.,Glasi hiyo imepambwa vizuri.
The interviews will be conducted at the ministry headquarters in the city centre.,Mahojiano hayo yatafanywa katika makao makuu ya wizara katikati mwa jiji.
The six applicants are at the reception ready to be called in for the interview.,Waombaji sita wako kwenye mapokezi tayari kuitwa kwa mahojiano.
I greeted everyone I found in that office.,Nilimsalimia kila mtu niliyemkuta katika ofisi hiyo.
I sat next to the entrance just in case I need to move out.,Nilikaa karibu na mlango ikiwa tu nitahitaji kuhama.
There were company profile pamphlets at the reception.,Kulikuwa na vipeperushi vya wasifu wa kampuni kwenye mapokezi.
One must know everything they can about the company they want to work for.,Mtu lazima ajue kila kitu wanachoweza kuhusu kampuni wanayotaka kufanyia kazi.
I read through two of the company profile pamphlets.,Nilisoma vijikaratasi viwili vya wasifu wa kampuni.
A knock at the door interrupted their conversation.,Kugonga mlango uliingilia mazungumzo yao.
He said good morning in a polite manner.,Alisema asubuhi njema kwa njia ya heshima.
She likes whispering in class.,Yeye anapenda kunong'ona darasani.
The written interview took place in Namboole.,Mahojiano yaliyoandikwa yalifanyika huko Namboole.
She participated in the high jump competition.,Alishiriki katika mashindano ya juu ya kuruka.
They have already warmed up their seats for the television show.,Tayari wamewasha moto viti vyao kwa kipindi cha runinga.
I am preparing for my final exams.,Ninajiandaa kwa mitihani yangu ya mwisho.
My mother dyes her grey hair.,Mama yangu hutengeneza nywele zake za kijivu.
"During her mother's funeral, all her hair was cut off as a custom.","Wakati wa mazishi ya mama yake, nywele zake zote zilikatwa kama kawaida."
The man who sat next to me on the bus stole my wallet.,Mtu ambaye alikaa karibu nami kwenye basi aliiba mkoba wangu.
